sentence1,sentence2,condition,label
A stop sign with wildflowers around the base against a very vivid blue sky.,"Octagonal ""Stop"" sign on the road with the smaller sign saying ""all the way"" underneath it.",Color of the sign.,5
A stop sign with wildflowers around the base against a very vivid blue sky.,"Octagonal ""Stop"" sign on the road with the smaller sign saying ""all the way"" underneath it.",Number of signs.,2
A person eating food from a white plate next to a glass of wine.,"A counter with a bottle of whine, carrots with cheese and bread on a platter.",The type of drink.,3
A person eating food from a white plate next to a glass of wine.,"A counter with a bottle of whine, carrots with cheese and bread on a platter.",The amount of things to eat and drink.,2
A painting of a black individual with a red umbrella on a concrete wall.,An image of the city with rain coming down and a woman with an umbrella.,The object.,4
A painting of a black individual with a red umbrella on a concrete wall.,An image of the city with rain coming down and a woman with an umbrella.,The gender.,3
A plate of fried fish with tarter sauce and a side of fruit salad.,"A table with utensils, glass, plate of bread and salad, and stones, on a stone patio with chaise.",Type of dish.,2
A plate of fried fish with tarter sauce and a side of fruit salad.,"A table with utensils, glass, plate of bread and salad, and stones, on a stone patio with chaise.",Primary food of the meal.,2
A big monitor on a white desk with a white mouse and a glass on the desk.,The computer desk is next to a shelf with speakers and books on it.,The objects near the device.,5
A big monitor on a white desk with a white mouse and a glass on the desk.,The computer desk is next to a shelf with speakers and books on it.,The type of device.,4
A large cow with one horn and a red spot on it's head lays in the sand near water.,A brown cow with a yellow tag in its ear is looking at the camera.,The animal.,5
A large cow with one horn and a red spot on it's head lays in the sand near water.,A brown cow with a yellow tag in its ear is looking at the camera.,The color of animal.,3
A surfer is standing on his board as he makes his way through the waves.,The man is on his surfboard trying to surf the waves in the water.,The skill level.,4
A surfer is standing on his board as he makes his way through the waves.,The man is on his surfboard trying to surf the waves in the water.,The body position on the board.,4
A bedroom with an open suitcase on the floor and a laptop on a chair,"A carpeted bedroom has different wood toned furniture, a small lamp, and a yellow striped pillow.",The activity of the object.,3
A bedroom with an open suitcase on the floor and a laptop on a chair,"A carpeted bedroom has different wood toned furniture, a small lamp, and a yellow striped pillow.",The name of the object.,1
A wooden table sitting in a dining room next to a wall mounted clock.,"Photo of a living room with TV, couch, large chair, console table, and lamp.",The name of the place.,4
A wooden table sitting in a dining room next to a wall mounted clock.,"Photo of a living room with TV, couch, large chair, console table, and lamp.",The name of the object.,3
"Men stand around the vehicle, parked under the wing of the large, propeller airplane.",Three men are standing in front of a large older plane with a propeller.,The name of vehicle.,5
"Men stand around the vehicle, parked under the wing of the large, propeller airplane.",Three men are standing in front of a large older plane with a propeller.,The number of men.,4
"One person sits on the ground attached to a snowboard, while another person stands above.","A person standing in the snow, holding a snowboard and holding his thumb up.",The name of the game.,5
"One person sits on the ground attached to a snowboard, while another person stands above.","A person standing in the snow, holding a snowboard and holding his thumb up.",The name of the place.,4
A young boy attached to a stork as it lifts him off of the ground.,At the beach a person has their arm raised and a bird is flying.,The number of people.,5
A young boy attached to a stork as it lifts him off of the ground.,At the beach a person has their arm raised and a bird is flying.,The name of the place.,3
"A dessert consists of a piece of carrot cake, ice cream, an orange slice, and shredded carrots.",layered chocolate cake with vanilla icing drizzled in chocolate on a white plate with a fork,The type of bake.,3
"A dessert consists of a piece of carrot cake, ice cream, an orange slice, and shredded carrots.",layered chocolate cake with vanilla icing drizzled in chocolate on a white plate with a fork,The number of items.,1
A skateboarder does a trick at a park with palm trees and red flags.,The skateboarder in jeans and t-shirt stands on the pavement next to the skateboard.,What the person is doing.,5
A skateboarder does a trick at a park with palm trees and red flags.,The skateboarder in jeans and t-shirt stands on the pavement next to the skateboard.,What trick is being performed.,2
a group of people sitting in the snow on skis next to a hill,A skier turns and looks back as other people are standing in the background.,The name of the game.,2
